supplier_id,company_name,country,city,price_usd_per_liter,min_order_liters,lead_time_days,certification,rating,email,phone,website,flavors_available,notes
Y001,Fresh Farms,France,Paris,4.17,1000,20,Non-GMO,4.46,sales@fresh.farmsfr.org,+33-5502-2585,https://www.freshfarms.net,"Plain, Strawberry, Blueberry",local distributor only
Y002,Creamy Cultures,Turkey,Istanbul,3.14,100,5,Organic,4.71,sales@creamy.culturestu.net,+90-2046-9747,https://www.creamycultures.co,"Honey, Greek, Mixed Berry",seasonal milk variations
Y003,Farmhouse Yogurt Co,New Zealand,Wellington,3.57,1000,30,Fairtrade,3.26,sales@farmhouse.yogurt.cone.org,+64-6897-8658,https://www.farmhouseyogurtco.net,"Plain, Strawberry, Blueberry",local distributor only
Y004,Golden Creamery,Germany,Berlin,3.19,1000,14,ISO9001,5.0,sales@golden.creameryge.org,+49-5039-1505,https://www.goldencreamery.biz,Assorted fruit flavors,seasonal milk variations
Y005,Fresh Farms Ltd,Brazil,Brasília,2.27,250,7,None,3.24,sales@fresh.farms.ltdbr.org,+55-7670-0273,https://www.freshfarmsltd.co,"Honey, Greek, Mixed Berry",local distributor only
Y006,River Dairy,France,Toulouse,1.98,1000,5,Organic,3.26,sales@river.dairyfr.org,+33-6186-0547,https://www.riverdairy.org,"Honey, Greek, Mixed Berry",local distributor only
Y007,Mountain Dairy,Greece,Thessaloniki,3.6,250,30,Organic,3.86,sales@mountain.dairygr.com,+30-0868-4246,https://www.mountaindairy.org,"Honey, Greek, Mixed Berry",seasonal milk variations
Y008,Creamy Creamery,New Zealand,Christchurch,3.46,100,10,Fairtrade,4.13,sales@creamy.creameryne.biz,+64-7460-2858,https://www.creamycreamery.net,"Honey, Greek, Mixed Berry",seasonal milk variations
Y009,Creamy Nutrition,Germany,Munich,1.72,500,20,None,4.11,sales@creamy.nutritionge.net,+49-3546-0813,https://www.creamynutrition.com,"Vanilla, Mango",export-ready
Y010,Organic Yogurt Co Ltd,France,Toulouse,2.17,2000,7,Non-GMO,4.85,sales@organic.yogurt.co.ltdfr.biz,+33-7604-9756,https://www.organicyogurtcoltd.org,"Vanilla, Mango",seasonal milk variations
Y011,Fresh Cultures,New Zealand,Christchurch,3.11,500,14,Non-GMO,3.89,sales@fresh.culturesne.co,+64-6553-7532,https://www.freshcultures.com,Plain only,local distributor only
Y012,Ever Farms,Greece,Patras,1.18,500,20,Non-GMO,4.04,sales@ever.farmsgr.org,+30-5060-9641,https://www.everfarms.co,"Vanilla, Mango",local distributor only
